,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,1558,1175,383,62,0,222,35,88,45,23,15,3,930,322,306,997,256,21,275,3,1227,8,14,36,47,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,1684,1356,328,27,1,291,10,72,0,0,0,0,1018,391,275,219,1102,45,301,2,1316,0,33,22,70,Matches
3,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,1515,1437,78,75,1,184,49,1,0,0,0,0,1142,141,232,1008,411,66,3,3,1328,3,21,25,12,Matches
4,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,1.7,40,40,0,0,0,8,2,8,0,0,0,0,21,9,10,8,23,5,0,0,18,0,1,1,6,Matches
5,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,957,864,93,42,1,157,50,62,47,16,16,7,684,113,160,104,788,42,4,8,801,3,23,11,12,Matches
6,Charles Abi\Charles-Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,132,120,12,0,1,53,1,3,0,0,0,0,69,38,25,78,16,11,0,5,74,1,3,3,9,Matches
7,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,896,843,53,23,0,136,33,9,0,0,0,0,580,134,182,111,673,48,30,6,742,1,20,16,8,Matches
8,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,413,361,52,0,0,149,5,10,0,0,0,0,259,82,72,31,306,18,0,17,288,1,6,8,26,Matches
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,342,324,18,12,0,61,1,7,0,0,0,0,262,45,35,25,298,9,1,2,298,0,4,5,11,Matches
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,2010,1925,85,64,3,215,102,26,1,0,0,0,1427,230,353,1543,324,75,20,5,1808,1,27,8,20,Matches
11,Che Adams\Che-Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,265,257,8,0,3,73,8,14,0,0,0,0,160,67,38,18,211,11,0,5,184,1,9,8,20,Matches
12,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,20,1999,10.6,699,620,79,21,1,80,4,10,0,0,0,0,479,126,94,73,524,33,58,2,595,1,8,19,18,Matches
13,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,26,1993,8.3,191,179,12,0,0,42,3,11,0,0,0,0,109,49,33,28,132,10,6,5,140,0,1,2,14,Matches
