,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,1227,1558,78.8,21238,9268,16,56,28.6,1018,1172,86.9,193,330,58.5,2,3.1,-1.1,32,85,25,5,216,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,1316,1684,78.1,20283,6833,32,96,33.3,1135,1315,86.3,149,273,54.6,1,3.4,-2.4,24,44,32,13,123,Matches
3,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,1328,1515,87.7,29513,9041,9,23,39.1,851,924,92.1,468,568,82.4,0,0.1,-0.1,2,45,3,0,83,Matches
4,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,1.7,18,40,45.0,316,132,0,5,0.0,16,28,57.1,2,7,28.6,0,0.2,-0.2,1,2,2,1,5,Matches
5,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,801,957,83.7,14638,3850,6,21,28.6,632,686,92.1,163,250,65.2,2,1.4,+0.6,26,85,6,4,82,Matches
6,Charles Abi\Charles-Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,74,132,56.1,1085,199,9,21,42.9,57,97,58.8,8,14,57.1,0,1.1,-1.1,5,5,2,0,8,Matches
7,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,742,896,82.8,16639,6079,6,16,37.5,483,547,88.3,253,333,76.0,0,0.1,-0.1,2,75,7,0,108,Matches
8,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,288,413,69.7,4211,813,26,54,48.1,223,306,72.9,39,53,73.6,3,2.6,+0.4,18,16,5,0,32,Matches
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,298,342,87.1,4705,1028,11,22,50.0,258,280,92.1,29,40,72.5,0,0.1,-0.1,4,19,5,3,24,Matches
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,1808,2010,90.0,41344,12487,16,35,45.7,1155,1226,94.2,637,749,85.0,2,1.6,+0.4,7,138,14,3,127,Matches
11,Che Adams\Che-Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,184,265,69.4,2932,632,10,26,38.5,150,196,76.5,24,43,55.8,2,1.3,+0.7,11,12,3,0,21,Matches
12,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,20,1999,10.6,595,699,85.1,9793,2653,12,29,41.4,494,554,89.2,89,116,76.7,0,0.5,-0.5,6,30,8,2,52,Matches
13,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,26,1993,8.3,140,191,73.3,2008,429,4,16,25.0,119,150,79.3,17,25,68.0,1,0.9,+0.1,7,5,4,2,17,Matches
14,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,4,6,66.7,121,98,0,0,,2,2,100.0,2,4,50.0,0,0.0,0.0,0,0,0,0,0,Matches
15,Bobby Adekanye\Bobby-Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,41,46,89.1,546,68,2,2,100.0,34,39,87.2,5,5,100.0,0,0.1,-0.1,2,1,0,0,1,Matches
16,Claud Adjapong\Claud-Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,61,80,76.3,1113,358,2,3,66.7,47,57,82.5,12,20,60.0,0,0.0,0.0,0,6,0,0,8,Matches
17,Amine Adli\Amine-Adli,fr FRA,MFFW,Toulouse,fr Ligue 1,19,2000,0.5,21,27,77.8,336,127,0,0,,19,21,90.5,2,6,33.3,0,0.1,-0.1,2,4,1,0,5,Matches
18,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,19,2000,11.3,459,578,79.4,8478,1973,4,14,28.6,360,419,85.9,95,145,65.5,3,2.0,+1.0,18,50,9,0,68,Matches
19,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,227,314,72.3,6825,3820,2,4,50.0,107,108,99.1,118,202,58.4,0,0.0,0.0,0,3,0,0,0,Matches
20,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,33,57,57.9,428,88,0,1,0.0,32,48,66.7,1,8,12.5,0,0.0,0.0,0,3,0,0,3,Matches
21,Lumor Agbenyenu\Lumor-Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,709,969,73.2,12415,6166,11,49,22.4,586,715,82.0,112,205,54.6,0,1.9,-1.9,16,47,21,12,141,Matches
