,index,rk,player,nation,pos,squad,comp,age,born,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xa,a-xa,kp,1/3,ppa,crspa,prog,matches,year,player_year,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,playing_time_mp,playing_time_starts,playing_time_min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,expected_xa,per_90_minutes_xg,per_90_minutes_xa,per_90_minutes_xg+xa,per_90_minutes_npxg,per_90_minutes_npxg+xa,competition
0,0,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28.0,1990.0,27.9,1227.0,1558.0,78.8,21238.0,9268.0,16.0,56.0,28.6,1018.0,1172.0,86.9,193.0,330.0,58.5,2,3.1,-1.1,32.0,85.0,25.0,5.0,216.0,Matches,2020,Patrick van Aanholt2020,3,26,5,19.2,0.93,0.18,0.08,0.4,3.0,1,1,2.3,1.5,0.06,0.7,0.5,29,29,2507,3,2,1,1,0,0,0.11,0.07,0.18,0.07,0.14,3.1,0.08,0.11,0.19,0.06,0.17,ENG
1,1,2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19.0,2000.0,36.0,1316.0,1684.0,78.1,20283.0,6833.0,32.0,96.0,33.3,1135.0,1315.0,86.3,149.0,273.0,54.6,1,3.4,-2.4,24.0,44.0,32.0,13.0,123.0,Matches,2020,Max Aarons2020,0,14,4,28.6,0.39,0.11,0.0,0.0,0.0,0,0,0.5,0.5,0.03,-0.5,-0.5,36,36,3240,0,1,0,0,7,0,0.0,0.03,0.03,0.0,0.03,3.4,0.01,0.09,0.11,0.01,0.11,ENG
2,2,3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31.0,1987.0,28.0,1328.0,1515.0,87.7,29513.0,9041.0,9.0,23.0,39.1,851.0,924.0,92.1,468.0,568.0,82.4,0,0.1,-0.1,2.0,45.0,3.0,0.0,83.0,Matches,2020,Yunis Abdelhamid2020,3,19,5,26.3,0.68,0.18,0.16,0.6,0.0,0,0,1.3,1.3,0.07,1.7,1.7,28,28,2520,3,0,0,0,0,0,0.11,0.0,0.11,0.11,0.11,0.1,0.05,0.0,0.05,0.05,0.05,FR
3,3,4,Suleiman Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22.0,1996.0,1.7,18.0,40.0,45.0,316.0,132.0,0.0,5.0,0.0,16.0,28.0,57.1,2.0,7.0,28.6,0,0.2,-0.2,1.0,2.0,2.0,1.0,5.0,Matches,2020,Suleiman Abdullahi2020,1,6,3,50.0,3.44,1.72,0.17,0.33,0.0,0,0,1.3,1.3,0.21,-0.3,-0.3,6,1,157,1,0,0,0,1,0,0.57,0.0,0.57,0.57,0.57,0.2,0.72,0.1,0.82,0.72,0.82,DE
4,4,5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26.0,1992.0,20.2,801.0,957.0,83.7,14638.0,3850.0,6.0,21.0,28.6,632.0,686.0,92.1,163.0,250.0,65.2,2,1.4,0.6,26.0,85.0,6.0,4.0,82.0,Matches,2020,Mehdi Abeid2020,1,33,7,21.2,1.63,0.35,0.03,0.14,3.0,0,0,1.6,1.6,0.05,-0.6,-0.6,25,20,1817,1,2,0,0,5,0,0.05,0.1,0.15,0.05,0.15,1.4,0.08,0.07,0.15,0.08,0.15,FR
5,5,6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19.0,2000.0,6.9,74.0,132.0,56.1,1085.0,199.0,9.0,21.0,42.9,57.0,97.0,58.8,8.0,14.0,57.1,0,1.1,-1.1,5.0,5.0,2.0,0.0,8.0,Matches,2020,Charles Abi2020,0,5,0,0.0,0.72,0.0,0.0,,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,15,6,623,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.1,0.03,0.17,0.2,0.03,0.2,FR
6,6,7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33.0,1986.0,18.8,742.0,896.0,82.8,16639.0,6079.0,6.0,16.0,37.5,483.0,547.0,88.3,253.0,333.0,76.0,0,0.1,-0.1,2.0,75.0,7.0,0.0,108.0,Matches,2020,David Abraham2020,2,7,4,57.1,0.37,0.21,0.29,0.5,0.0,0,0,1.4,1.4,0.2,0.6,0.6,20,19,1688,2,0,0,0,2,1,0.11,0.0,0.11,0.11,0.11,0.1,0.07,0.0,0.08,0.07,0.08,DE
7,7,8,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21.0,1997.0,24.6,288.0,413.0,69.7,4211.0,813.0,26.0,54.0,48.1,223.0,306.0,72.9,39.0,53.0,73.6,3,2.6,0.4,18.0,16.0,5.0,0.0,32.0,Matches,2020,Tammy Abraham2020,15,88,35,39.8,3.58,1.42,0.17,0.43,0.0,0,0,14.5,14.5,0.17,0.5,0.5,34,25,2215,15,3,0,0,2,0,0.61,0.12,0.73,0.61,0.73,2.6,0.59,0.1,0.69,0.59,0.69,ENG
8,8,9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29.0,1990.0,7.4,298.0,342.0,87.1,4705.0,1028.0,11.0,22.0,50.0,258.0,280.0,92.1,29.0,40.0,72.5,0,0.1,-0.1,4.0,19.0,5.0,3.0,24.0,Matches,2020,Amir Abrashi2020,0,5,2,40.0,0.68,0.27,0.0,0.0,0.0,0,0,0.4,0.4,0.07,-0.4,-0.4,13,8,663,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.02,0.07,0.05,0.07,DE
9,9,10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31.0,1988.0,35.1,1808.0,2010.0,90.0,41344.0,12487.0,16.0,35.0,45.7,1155.0,1226.0,94.2,637.0,749.0,85.0,2,1.6,0.4,7.0,138.0,14.0,3.0,127.0,Matches,2020,Francesco Acerbi2020,2,17,7,41.2,0.48,0.2,0.12,0.29,0.0,0,0,2.0,2.0,0.12,0.0,0.0,36,36,3162,2,2,0,0,4,0,0.06,0.06,0.11,0.06,0.11,1.6,0.06,0.05,0.1,0.06,0.1,IT
